SKU,Product_Name,Category,Stock_Quantity,Unit_Price,Reorder_Level,Supplier,Last_Restocked
SKU-001,Laptop Pro 15,Electronics,45,1299.99,10,TechSupply Co,2024-03-01
SKU-002,Wireless Mouse,Electronics,120,29.99,25,TechSupply Co,2024-03-10
SKU-003,USB-C Hub 7-Port,Electronics,8,49.99,15,TechSupply Co,2024-02-20
SKU-004,Mechanical Keyboard,Electronics,62,89.99,20,TechSupply Co,2024-03-05
SKU-005,4K Monitor 27in,Electronics,17,449.99,8,DisplayMart,2024-02-28
SKU-006,Office Chair Ergonomic,Furniture,23,349.99,5,OfficeFit Ltd,2024-01-15
SKU-007,Standing Desk 140cm,Furniture,5,599.99,3,OfficeFit Ltd,2024-01-10
SKU-008,Desk Lamp LED,Furniture,88,34.99,30,LightHouse Inc,2024-03-12
SKU-009,Wireless Headphones,Audio,31,149.99,12,SoundWave Ltd,2024-03-08
SKU-010,Bluetooth Speaker,Audio,4,79.99,10,SoundWave Ltd,2024-02-15
SKU-011,Webcam 1080p,Electronics,56,69.99,20,TechSupply Co,2024-03-09
SKU-012,Notebook A4 Pack,Stationery,200,12.99,50,PaperDeals,2024-03-01
SKU-013,Ballpoint Pens Box,Stationery,350,8.99,100,PaperDeals,2024-03-01
SKU-014,Sticky Notes 5x5,Stationery,6,5.99,50,PaperDeals,2024-02-10
SKU-015,Whiteboard 90x60,Office Equipment,14,89.99,5,OfficeWorld,2024-02-20
SKU-016,Printer Paper A4,Stationery,3,24.99,20,PaperDeals,2024-01-28
SKU-017,Label Maker,Office Equipment,9,44.99,5,OfficeWorld,2024-02-18
SKU-018,Filing Cabinet 3Dr,Furniture,7,199.99,2,OfficeFit Ltd,2024-01-20
SKU-019,HDMI Cable 2m,Electronics,142,9.99,40,TechSupply Co,2024-03-11
SKU-020,Power Strip 6-Port,Electronics,74,19.99,25,TechSupply Co,2024-03-10
SKU-021,Laptop Stand,Electronics,39,34.99,15,TechSupply Co,2024-03-07
SKU-022,Monitor Arm Single,Electronics,2,65.99,5,DisplayMart,2024-01-25
SKU-023,Noise Cancelling Buds,Audio,18,129.99,8,SoundWave Ltd,2024-02-25
SKU-024,Conference Mic,Audio,11,199.99,4,SoundWave Ltd,2024-02-20
SKU-025,Cable Tidy Kit,Office Equipment,65,14.99,20,OfficeWorld,2024-03-05
SKU-026,Dry Erase Markers,Stationery,28,11.99,20,PaperDeals,2024-03-01
SKU-027,Scissors Pack,Stationery,45,6.99,30,PaperDeals,2024-03-01
SKU-028,Locker Unit 4Dr,Furniture,2,249.99,1,OfficeFit Ltd,2024-12-15
SKU-029,Network Switch 8P,Electronics,0,89.99,3,TechSupply Co,2024-01-05
SKU-030,Surge Protector,Electronics,33,29.99,10,TechSupply Co,2024-03-09
